일자,기관 합계,기타법인,개인,외국인 합계,전체
"2025/06/26","-464132.0","140444.0","1070575.0","-746887.0","0.0"
"2025/06/25","-638306.0","-75867.0","968779.0","-254606.0","0.0"
"2025/06/24","323970.0","-160321.0","-775207.0","611558.0","0.0"
"2025/06/23","-1010346.0","-115599.0","1499199.0","-373254.0","0.0"
"2025/06/20","75704.0","-7254.0","-680889.0","612439.0","0.0"
"2025/06/19","-283232.0","26345.0","474801.0","-217915.0","0.0"
"2025/06/18","108888.0","50176.0","-402107.0","243044.0","0.0"
"2025/06/17","-163923.0","-53772.0","299407.0","-81712.0","0.0"
"2025/06/16","296121.0","13721.0","-105091.0","-204750.0","0.0"
"2025/06/13","-736840.0","47281.0","803764.0","-114205.0","0.0"
"2025/06/12","-237008.0","-36760.0","-142777.0","416545.0","0.0"
"2025/06/11","342602.0","-45077.0","-670810.0","373284.0","0.0"
"2025/06/10","12120.0","-36488.0","-613127.0","637495.0","0.0"
"2025/06/09","-772068.0","-23115.0","-334170.0","1129353.0","0.0"
"2025/06/05","230565.0","-18592.0","-1231613.0","1019641.0","0.0"
"2025/06/04","380807.0","-47678.0","-1532666.0","1199536.0","0.0"
"2025/06/02","-224734.0","10937.0","-22880.0","236676.0","0.0"
"2025/05/30","-10507.0","17550.0","712398.0","-719441.0","0.0"
"2025/05/29","732216.0","6376.0","-1026431.0","287838.0","0.0"
"2025/05/28","749063.0","-319550.0","-1062636.0","633123.0","0.0"
"2025/05/27","-31523.0","35771.0","73692.0","-77940.0","0.0"
"2025/05/26","518428.0","-23832.0","-680152.0","185556.0","0.0"
"2025/05/23","-77408.0","-11692.0","175954.0","-86855.0","0.0"
"2025/05/22","-484165.0","-33389.0","796351.0","-278796.0","0.0"
"2025/05/21","189973.0","25068.0","-448735.0","233693.0","0.0"
"2025/05/20","129430.0","-16884.0","-52420.0","-60127.0","0.0"
"2025/05/19","-375774.0","-11814.0","536677.0","-149089.0","0.0"
"2025/05/16","69953.0","-15339.0","-46707.0","-7907.0","0.0"
"2025/05/15","-352894.0","28440.0","173482.0","150972.0","0.0"
"2025/05/14","596875.0","-26083.0","-1088533.0","517741.0","0.0"
"2025/05/13","-32958.0","42499.0","-223188.0","213647.0","0.0"
"2025/05/12","348435.0","27925.0","-463849.0","87489.0","0.0"
"2025/05/09","-266473.0","25508.0","437319.0","-196354.0","0.0"
"2025/05/08","-232189.0","36973.0","-23272.0","218489.0","0.0"
"2025/05/07","77481.0","11844.0","-464658.0","375333.0","0.0"
"2025/05/02","388791.0","82996.0","-381209.0","-90578.0","0.0"
"2025/04/30","-349224.0","77325.0","511887.0","-239988.0","0.0"
"2025/04/29","-537291.0","33968.0","-322611.0","825935.0","0.0"
"2025/04/28","-22261.0","31248.0","135188.0","-144174.0","0.0"
"2025/04/25","442913.0","-354390.0","-779550.0","691027.0","0.0"
"2025/04/24","-235400.0","68320.0","167632.0","-553.0","0.0"
"2025/04/23","718810.0","50712.0","-616010.0","-153512.0","0.0"
"2025/04/22","17448.0","46725.0","191436.0","-255609.0","0.0"
"2025/04/21","-40143.0","60990.0","383012.0","-403860.0","0.0"
"2025/04/18","91654.0","23900.0","9937.0","-125491.0","0.0"
"2025/04/17","417683.0","89983.0","-251963.0","-255702.0","0.0"
"2025/04/16","-112117.0","81410.0","615720.0","-585013.0","0.0"
"2025/04/15","142056.0","73291.0","-27922.0","-187425.0","0.0"
"2025/04/14","15741.0","53272.0","198257.0","-267270.0","0.0"
"2025/04/11","150757.0","116944.0","396199.0","-663900.0","0.0"
"2025/04/10","869431.0","63043.0","-1368868.0","436393.0","0.0"
"2025/04/09","-50442.0","125312.0","1022502.0","-1097372.0","0.0"
"2025/04/08","63224.0","124217.0","528275.0","-715717.0","0.0"
"2025/04/07","263591.0","180121.0","1839174.0","-2282887.0","0.0"
"2025/04/04","694171.0","76740.0","1104422.0","-1875333.0","0.0"
"2025/04/03","464722.0","106831.0","867865.0","-1439418.0","0.0"
"2025/04/02","174947.0","85876.0","730153.0","-990975.0","0.0"
"2025/04/01","366264.0","110998.0","-81936.0","-395326.0","0.0"
"2025/03/31","815151.0","124340.0","850771.0","-1790262.0","0.0"
"2025/03/28","-2547.0","96500.0","660292.0","-754245.0","0.0"
"2025/03/27","-335462.0","104444.0","165003.0","66015.0","0.0"
"2025/03/26","332081.0","69421.0","-815950.0","414449.0","0.0"
"2025/03/25","-46061.0","63721.0","20047.0","-37707.0","0.0"
"2025/03/24","-56463.0","100817.0","-19958.0","-24396.0","0.0"
"2025/03/21","-285211.0","88923.0","-704747.0","901034.0","0.0"
"2025/03/20","34339.0","52255.0","-608225.0","521631.0","0.0"
"2025/03/19","267550.0","60767.0","-457674.0","129357.0","0.0"
"2025/03/18","92836.0","62062.0","-558086.0","403188.0","0.0"
"2025/03/17","491523.0","70202.0","-1060846.0","499121.0","0.0"
"2025/03/14","55779.0","93741.0","-62414.0","-87107.0","0.0"
"2025/03/13","321771.0","103650.0","140700.0","-566121.0","0.0"
"2025/03/12","41106.0","83719.0","-517654.0","392829.0","0.0"
"2025/03/11","-325200.0","1274479.0","541517.0","-1490796.0","0.0"
"2025/03/10","101078.0","83342.0","266220.0","-450640.0","0.0"
"2025/03/07","-71867.0","94209.0","-128229.0","105886.0","0.0"
"2025/03/06","-61061.0","63677.0","71497.0","-74113.0","0.0"
"2025/03/05","59298.0","70413.0","28801.0","-158511.0","0.0"
"2025/03/04","-148142.0","125870.0","166901.0","-144629.0","0.0"
"2025/02/28","-740239.0","136056.0","2439596.0","-1835413.0","0.0"
"2025/02/27","-365234.0","30562.0","564439.0","-229767.0","0.0"
"2025/02/26","193322.0","101978.0","98559.0","-393859.0","0.0"
"2025/02/25","-177722.0","90151.0","441759.0","-354188.0","0.0"
"2025/02/24","-219998.0","96303.0","432547.0","-308851.0","0.0"
"2025/02/21","112110.0","71649.0","-92582.0","-91178.0","0.0"
"2025/02/20","-230775.0","95266.0","642496.0","-506987.0","0.0"
"2025/02/19","790470.0","36863.0","-1140449.0","313116.0","0.0"
"2025/02/18","197392.0","-14393.0","-158736.0","-24263.0","0.0"
"2025/02/17","212805.0","2334.0","-53833.0","-161306.0","0.0"
"2025/02/14","378084.0","-4662.0","-249220.0","-124202.0","0.0"
"2025/02/13","607698.0","43225.0","-563047.0","-87876.0","0.0"
"2025/02/12","-277414.0","2128.0","23353.0","251933.0","0.0"
"2025/02/11","212830.0","60905.0","-399345.0","125610.0","0.0"
"2025/02/10","261505.0","59664.0","65264.0","-386433.0","0.0"
"2025/02/07","-265848.0","102438.0","409205.0","-245796.0","0.0"
"2025/02/06","228723.0","84186.0","-671959.0","359050.0","0.0"
"2025/02/05","-2308.0","78055.0","-167386.0","91639.0","0.0"
"2025/02/04","170976.0","80352.0","-702537.0","451209.0","0.0"
"2025/02/03","-561236.0","113596.0","1416724.0","-969084.0","0.0"
"2025/01/31","289739.0","-83674.0","932372.0","-1138437.0","0.0"
"2025/01/24","52999.0","74300.0","-470178.0","342879.0","0.0"
"2025/01/23","-226171.0","50325.0","891241.0","-715395.0","0.0"
"2025/01/22","487576.0","64272.0","-921423.0","369575.0","0.0"
"2025/01/21","52563.0","58275.0","117121.0","-227959.0","0.0"
"2025/01/20","54715.0","58408.0","383748.0","-496871.0","0.0"
"2025/01/17","-73514.0","34564.0","349039.0","-310089.0","0.0"
"2025/01/16","120108.0","-73399.0","-898137.0","851427.0","0.0"
"2025/01/15","-250321.0","70843.0","301359.0","-121881.0","0.0"
"2025/01/14","4269.0","51988.0","160425.0","-216681.0","0.0"
"2025/01/13","-24135.0","84805.0","847742.0","-908412.0","0.0"
"2025/01/10","-504349.0","65128.0","563007.0","-123787.0","0.0"
"2025/01/09","-501547.0","89815.0","-315194.0","726926.0","0.0"
"2025/01/08","-21120.0","58552.0","-134380.0","96947.0","0.0"
"2025/01/07","-112577.0","62693.0","-103056.0","152940.0","0.0"
"2025/01/06","50762.0","115062.0","-376727.0","210903.0","0.0"
"2025/01/03","393911.0","103261.0","-920599.0","423427.0","0.0"
"2025/01/02","-235504.0","84129.0","520752.0","-369377.0","0.0"
