번호,종목명,평가액 (억원),자산군 내 비중, 지분율
1519,DOUGLAS EMMETT INC,92 ,0.00%,0.26%
1520,CANADIAN TIRE CORP CLASS A,92 ,0.00%,0.13%
1521,INNOVENT BIOLOGICS INC,92 ,0.00%,0.11%
1522,NOBLE CORP PLC,92 ,0.00%,0.14%
1523,PTT PCL/FOREIGN,91 ,0.00%,0.03%
1524,SIAM CEMENT PCL NVDR,91 ,0.00%,0.06%
1525,SHANGHAI PUTAILAI NEW ENER A,91 ,0.00%,0.07%
1526,COLGATE PALMOLIVE (INDIA),91 ,0.00%,0.14%
1527,BANK PEKAO SA,91 ,0.00%,0.14%
1528,MONDI PLC,90 ,0.00%,0.09%
1529,GSK PLC SPON ADR,90 ,0.00%,0.01%
1530,CHINA RESOURCES GAS GROUP LT,90 ,0.00%,0.08%
1531,BDO UNIBANK INC,90 ,0.00%,0.07%
1532,OPEN TEXT CORP,90 ,0.00%,0.09%
1533,BANGKOK BANK PUBLIC CO NVDR,90 ,0.00%,0.09%
1534,SOCIETE BIC SA,90 ,0.00%,0.23%
1535,ACCTON TECHNOLOGY CORP,90 ,0.00%,0.17%
1536,CHINA NATIONAL BUILDING MA H,90 ,0.00%,0.19%
1537,EVE ENERGY CO LTD A,89 ,0.00%,0.03%
1538,MURPHY USA INC,89 ,0.00%,0.11%
1539,E INK HOLDINGS INC,88 ,0.00%,0.12%
1540,BANCO SANTANDER CHILE ADR,88 ,0.00%,0.09%
1541,TRITON INTERNATIONAL LTD,88 ,0.00%,0.17%
1542,SARTORIUS AG VORZUG,88 ,0.00%,0.05%
1543,OGE ENERGY CORP,88 ,0.00%,0.09%
1544,SHANXI XINGHUACUN FEN WINE A,88 ,0.00%,0.01%
1545,SCIENCE APPLICATIONS INTE,87 ,0.00%,0.11%
1546,THAI OIL PCL FOREIGN,87 ,0.00%,0.19%
1547,SANKYU INC,87 ,0.00%,0.30%
1548,NEXT PLC,87 ,0.00%,0.08%
1549,ADVANTECH CO LTD,87 ,0.00%,0.08%
1550,DISCOVERY LTD,87 ,0.00%,0.14%
1551,HARLEY DAVIDSON INC,87 ,0.00%,0.11%
1552,FAR EASTONE TELECOMM CO LTD,86 ,0.00%,0.10%
1553,B2GOLD CORP,86 ,0.00%,0.18%
1554,BANK NEGARA INDONESIA PERSER,86 ,0.00%,0.06%
1555,PEARSON PLC,86 ,0.00%,0.08%
1556,YANG MING MARINE TRANSPORT,86 ,0.00%,0.09%
1557,ORBIA ADVANCE CORP SAB DE CV,86 ,0.00%,0.19%
1558,EVA AIRWAYS CORP,86 ,0.00%,0.14%
1559,NANYA TECHNOLOGY CORP,85 ,0.00%,0.13%
1560,HANNOVER RUECK SE,85 ,0.00%,0.03%
1561,UNITED SPIRITS LTD,85 ,0.00%,0.09%
1562,THOMSON REUTERS CORP,84 ,0.00%,0.01%
1563,GREAT WALL MOTOR COMPANY H,84 ,0.00%,0.20%
1564,GODADDY INC   CLASS A,84 ,0.00%,0.06%
1565,CHINA RESOURCES POWER HOLDIN,84 ,0.00%,0.07%
1566,JARDINE CYCLE + CARRIAGE LTD,84 ,0.00%,0.08%
1567,BOISE CASCADE CO,84 ,0.00%,0.24%
1568,JD.COM INC ADR,84 ,0.00%,0.01%
1569,ANTOFAGASTA PLC,83 ,0.00%,0.04%
1570,CHINA GAS HOLDINGS LTD,83 ,0.00%,0.08%
1571,BILIBILI INC CLASS Z,83 ,0.00%,0.09%
1572,ENGIE BRASIL ENERGIA SA,83 ,0.00%,0.11%
1573,CAMPBELL SOUP CO,83 ,0.00%,0.04%
1574,UNITED INTERNET AG REG SHARE,83 ,0.00%,0.17%
1575,SILGAN HOLDINGS INC,83 ,0.00%,0.11%
1576,DROPBOX INC CLASS A,83 ,0.00%,0.10%
1577,COMMERCIAL BANK PSQC,82 ,0.00%,0.12%
1578,KINGBOARD HOLDINGS LTD,82 ,0.00%,0.18%
1579,PETRONAS GAS BHD,81 ,0.00%,0.08%
1580,OPAP SA,81 ,0.00%,0.12%
1581,MAKITA CORP,81 ,0.00%,0.10%
1582,INVESTOR AB A SHS,81 ,0.00%,0.03%
1583,EUROBANK ERGASIAS SERVICES A,81 ,0.00%,0.15%
1584,VENTURE CORP LTD,81 ,0.00%,0.17%
1585,TFI INTERNATIONAL INC,80 ,0.00%,0.07%
1586,A LIVING SMART CITY SERVICES,80 ,0.00%,0.37%
1587,PEGATRON CORP,80 ,0.00%,0.11%
1588,DABUR INDIA LTD,80 ,0.00%,0.05%
1589,SUBARU CORP,80 ,0.00%,0.05%
1590,AIRPORTS OF THAILAND PC NVDR,80 ,0.00%,0.02%
1591,QIAGEN N.V.,80 ,0.00%,0.06%
1592,HENDERSON LAND DEVELOPMENT,80 ,0.00%,0.04%
1593,SHANDONG WEIGAO GP MEDICAL H,79 ,0.00%,0.08%
1594,JEFFERIES FINANCIAL GROUP IN,79 ,0.00%,0.08%
1595,EXXARO RESOURCES LTD,79 ,0.00%,0.14%
1596,MANPOWERGROUP INC,79 ,0.00%,0.15%
1597,SNAP INC   A,79 ,0.00%,0.05%
1598,CHINA LONGYUAN POWER GROUP H,79 ,0.00%,0.15%
1599,ELIS SA,79 ,0.00%,0.18%
1600,RENESAS ELECTRONICS CORP,79 ,0.00%,0.04%
1601,CRANE HOLDINGS CO,78 ,0.00%,0.11%
1602,OCCIDENTAL PETROLEUM CORP,78 ,0.00%,0.00%
1603,BRP INC/CA  SUB VOTING,78 ,0.00%,0.22%
1604,DELTA ELECTRONICS THAI FORGN,78 ,0.00%,0.02%
1605,NSK LTD,78 ,0.00%,0.21%
1606,TECHNIP ENERGIES NV,78 ,0.00%,0.22%
1607,BANCO BRADESCO S.A.,78 ,0.00%,0.05%
1608,POSTE ITALIANE SPA,78 ,0.00%,0.05%
1609,CARVANA CO,78 ,0.00%,1.22%
1610,ASHLAND INC,78 ,0.00%,0.11%
1611,NORDSON CORP,78 ,0.00%,0.05%
1612,BOUYGUES SA,78 ,0.00%,0.05%
1613,KOC HOLDING AS,77 ,0.00%,0.05%
1614,SRF LTD,77 ,0.00%,0.07%
1615,COSCO SHIPPING HOLDINGS CO H,77 ,0.00%,0.18%
1616,MOBILE TELECOMMUNICATIONS CO,77 ,0.00%,0.08%
1617,KGHM POLSKA MIEDZ SA,77 ,0.00%,0.11%
1618,MCDONALD S HOLDINGS CO JAPAN,77 ,0.00%,0.12%
1619,WERNER ENTERPRISES INC,77 ,0.00%,0.24%
1620,NINGBO ORIENT WIRES + CABL A,76 ,0.00%,0.09%
1621,COSAN SA,76 ,0.00%,0.10%
1622,SM INVESTMENTS CORP,76 ,0.00%,0.03%
1623,ALIBABA HEALTH INFORMATION T,76 ,0.00%,0.05%
1624,HAITIAN INTERNATIONAL HLDGS,76 ,0.00%,0.14%
1625,ZIONS BANCORP NA,75 ,0.00%,0.08%
1626,HYPERA SA,75 ,0.00%,0.11%
1627,HARVEY NORMAN HOLDINGS LTD,75 ,0.00%,0.17%
1628,WALSIN LIHWA CORP,75 ,0.00%,0.10%
1629,OCI NV,75 ,0.00%,0.08%
1630,ALPHA SERVICES AND HOLDINGS,75 ,0.00%,0.23%
1631,ARCA CONTINENTAL SAB DE CV,74 ,0.00%,0.04%
1632,CIA SANEAMENTO BASICO DE SP,74 ,0.00%,0.08%
1633,MAGNIT PJSC,74 ,0.00%,0.10%
1634,PROMOTORA Y OPERADORA DE INF,74 ,0.00%,0.19%
1635,WILL SEMICONDUCTOR CO LTD A,74 ,0.00%,0.04%
1636,BP PLC SPONS ADR,74 ,0.00%,0.01%
1637,CHINA TUNGSTEN + HIGHTECH A,74 ,0.00%,0.24%
1638,AMERICA MOVIL SPN ADR CL L,74 ,0.00%,0.02%
1639,ANNALY CAPITAL MANAGEMENT IN,74 ,0.00%,0.06%
1640,YANDEX NV A,73 ,0.00%,0.09%
1641,TRUST FIBRA UNO,73 ,0.00%,0.13%
1642,ZAI LAB LTD ADR,73 ,0.00%,0.19%
1643,LIBERTY MEDIA CORP LIBERTY C,73 ,0.00%,0.05%
1644,EMEMORY TECHNOLOGY INC,73 ,0.00%,0.17%
1645,GLOBANT SA,73 ,0.00%,0.08%
1646,TELKOM INDONESIA PERSERO ADR,73 ,0.00%,0.02%
1647,QINETIQ GROUP PLC,73 ,0.00%,0.23%
1648,LAMB WESTON HOLDINGS INC,73 ,0.00%,0.04%
1649,YONYOU NETWORK TECHNOLOGY A,73 ,0.00%,0.05%
1650,ANGEL YEAST CO LTD A,73 ,0.00%,0.10%
1651,PRESS METAL ALUMINIUM HOLDIN,73 ,0.00%,0.06%
1652,GANFENG LITHIUM GROUP CO L A,73 ,0.00%,0.04%
1653,COMMERCIAL INTERNATIONAL BAN,73 ,0.00%,0.11%
1654,GUANGZHOU AUTOMOBILE GROUP H,72 ,0.00%,0.27%
1655,AMBUJA CEMENTS LTD,72 ,0.00%,0.05%
1656,FOOT LOCKER INC,72 ,0.00%,0.16%
1657,BUREAU VERITAS SA,72 ,0.00%,0.05%
1658,ALMARAI CO,72 ,0.00%,0.04%
1659,BAOSHAN IRON + STEEL CO A,72 ,0.00%,0.03%
1660,EDGEWELL PERSONAL CARE CO,72 ,0.00%,0.29%
1661,BEKAERT NV,72 ,0.00%,0.25%
1662,HEINEKEN HOLDING NV,71 ,0.00%,0.03%
1663,SHIN KONG FINANCIAL HOLDING,71 ,0.00%,0.13%
1664,GENSCRIPT BIOTECH CORP,71 ,0.00%,0.08%
1665,RYOHIN KEIKAKU CO LTD,71 ,0.00%,0.17%
1666,TCS GROUP HOLDING GDR REG S,71 ,0.00%,0.08%
1667,GRUPO FINANCIERO INBURSA O,71 ,0.00%,0.05%
1668,ABU DHABI NATIONAL OIL CO FO,71 ,0.00%,0.04%
1669,TUPRAS TURKIYE PETROL RAFINE,71 ,0.00%,0.07%
1670,MERDEKA COPPER GOLD TBK PT,71 ,0.00%,0.09%
1671,NORTHAM PLATINUM HOLDINGS LT,71 ,0.00%,0.13%
1672,HERO MOTOCORP LTD,70 ,0.00%,0.08%
1673,PARADE TECHNOLOGIES LTD,70 ,0.00%,0.27%
1674,ALCOA CORP,70 ,0.00%,0.07%
1675,INDUSTRIAL BANK CO LTD  A,70 ,0.00%,0.01%
1676,CHOW TAI FOOK JEWELLERY GROU,70 ,0.00%,0.03%
1677,INTL CONTAINER TERM SVCS INC,70 ,0.00%,0.08%
1678,DELTA ELECTRONICS THAI NVDR,70 ,0.00%,0.02%
1679,POPULAR INC,70 ,0.00%,0.11%
1680,ALLEGRO.EU SA,70 ,0.00%,0.09%
1681,TATA POWER CO LTD,69 ,0.00%,0.07%
1682,JFE HOLDINGS INC,69 ,0.00%,0.08%
1683,OLD MUTUAL LTD,69 ,0.00%,0.18%
1684,KLABIN SA   UNIT,69 ,0.00%,0.13%
1685,H.U. GROUP HOLDINGS INC,69 ,0.00%,0.44%
1686,ADVANCED INFO SERVICE FOR RG,69 ,0.00%,0.03%
1687,INDUSTRIAS PENOLES SAB DE CV,69 ,0.00%,0.11%
1688,MATIV HOLDINGS INC,69 ,0.00%,0.48%
1689,FRESENIUS MEDICAL CARE AG +,69 ,0.00%,0.06%
1690,BEIERSDORF AG,69 ,0.00%,0.02%
1691,SBI HOLDINGS INC,69 ,0.00%,0.10%
1692,CHINA CONCH VENTURE HOLDINGS,69 ,0.00%,0.14%
1693,COCA COLA FEMSA SAB DE CV,69 ,0.00%,0.15%
1694,KALBE FARMA TBK PT,69 ,0.00%,0.09%
1695,AUO CORP,68 ,0.00%,0.14%
1696,ELISA OYJ,68 ,0.00%,0.06%
1697,CHOLAMANDALAM INVESTMENT AND,68 ,0.00%,0.08%
1698,SELECT MEDICAL HOLDINGS CORP,68 ,0.00%,0.17%
1699,TOKYO SEIMITSU CO LTD,68 ,0.00%,0.40%
1700,SMITHS GROUP PLC,68 ,0.00%,0.08%
1701,BOUBYAN BANK K.S.C,68 ,0.00%,0.06%
1702,S.O.I.T.E.C.,68 ,0.00%,0.09%
1703,NETEASE INC ADR,68 ,0.00%,0.01%
1704,ENTAIN PLC,68 ,0.00%,0.06%
1705,CHINA NATIONAL NUCLEAR POW A,68 ,0.00%,0.03%
1706,ENN NATURAL GAS CO LTD A,68 ,0.00%,0.07%
1707,FUYAO GLASS INDUSTRY GROUP H,68 ,0.00%,0.21%
1708,AYALA CORPORATION,68 ,0.00%,0.07%
1709,HAIDILAO INTERNATIONAL HOLDI,67 ,0.00%,0.03%
1710,KUALA LUMPUR KEPONG BHD,67 ,0.00%,0.10%
1711,PAGSEGURO DIGITAL LTD CL A,67 ,0.00%,0.30%
1712,JINDAL STEEL + POWER LTD,67 ,0.00%,0.07%
1713,SEALED AIR CORP,67 ,0.00%,0.07%
1714,SKANSKA AB B SHS,67 ,0.00%,0.08%
1715,IG GROUP HOLDINGS PLC,67 ,0.00%,0.13%
1716,ROLLS ROYCE HOLDINGS PLC,67 ,0.00%,0.06%
1717,THAI LIFE INSURANCE PCL,67 ,0.00%,0.11%
1718,KH NEOCHEM CO LTD,67 ,0.00%,0.69%
1719,LEPU MEDICAL TECHNOLOGY A,66 ,0.00%,0.08%
1720,AMN HEALTHCARE SERVICES INC,66 ,0.00%,0.12%
1721,INFO EDGE INDIA LTD,66 ,0.00%,0.09%
1722,TETRA TECH INC,66 ,0.00%,0.07%
1723,CARLYLE GROUP INC/THE,66 ,0.00%,0.05%
1724,YES BANK LTD,66 ,0.00%,0.07%
1725,MERITAGE HOMES CORP,66 ,0.00%,0.15%
1726,IOI CORP BHD,66 ,0.00%,0.09%
1727,ICICI LOMBARD GENERAL INSURA,66 ,0.00%,0.07%
1728,AGILITY,66 ,0.00%,0.09%
1729,CHINA RESOURCES MIXC LIFESTY,66 ,0.00%,0.04%
1730,DIRECT LINE INSURANCE GROUP,65 ,0.00%,0.15%
1731,INDIAN HOTELS CO LTD,65 ,0.00%,0.09%
1732,DENTSU GROUP INC,65 ,0.00%,0.06%
1733,OKTA INC,65 ,0.00%,0.05%
1734,VOLTRONIC POWER TECHNOLOGY,65 ,0.00%,0.12%
1735,VENUSTECH GROUP INC A,65 ,0.00%,0.14%
1736,IDEMITSU KOSAN CO LTD,65 ,0.00%,0.07%
1737,COUNTRY GARDEN HOLDINGS CO,65 ,0.00%,0.05%
1738,AKBANK T.A.S.,65 ,0.00%,0.09%
1739,MGIC INVESTMENT CORP,64 ,0.00%,0.13%
1740,LEONARDO SPA,64 ,0.00%,0.10%
1741,DXC TECHNOLOGY CO,64 ,0.00%,0.08%
1742,BANK OF THE PHILIPPINE ISLAN,64 ,0.00%,0.06%
1743,HAVELLS INDIA LTD,64 ,0.00%,0.06%
1744,RITHM CAPITAL CORP,64 ,0.00%,0.13%
1745,FAR EASTERN NEW CENTURY CORP,64 ,0.00%,0.09%
1746,TENARIS SA ADR,64 ,0.00%,0.02%
1747,INNOLUX CORP,64 ,0.00%,0.15%
1748,BIM BIRLESIK MAGAZALAR AS,63 ,0.00%,0.11%
1749,SEINO HOLDINGS CO LTD,63 ,0.00%,0.27%
1750,INDUSTRIAL BANK CO LTD  A,63 ,0.00%,0.01%
1751,SUMITOMO FORESTRY CO LTD,63 ,0.00%,0.14%
1752,KOHLS CORP,63 ,0.00%,0.18%
1753,FISHER + PAYKEL HEALTHCARE C,63 ,0.00%,0.06%
1754,CIA ENERGETICA MINAS GER PRF,63 ,0.00%,0.16%
1755,KESKO OYJ B SHS,63 ,0.00%,0.08%
1756,KOMERCNI BANKA AS,63 ,0.00%,0.09%
1757,KANZHUN LTD   ADR,63 ,0.00%,0.06%
1758,ZHEJIANG JINGSHENG MECHANI A,63 ,0.00%,0.04%
1759,PAGE INDUSTRIES LTD,63 ,0.00%,0.09%
1760,GERDAU SA  SPON ADR,63 ,0.00%,0.08%
1761,AISIN CORP,62 ,0.00%,0.06%
1762,CARMAX INC,62 ,0.00%,0.05%
1763,CHINA YANGTZE POWER CO LTD A,62 ,0.00%,0.01%
1764,CHINA HONGQIAO GROUP LTD,62 ,0.00%,0.05%
1765,IMI PLC,62 ,0.00%,0.12%
1766,UNUM GROUP,62 ,0.00%,0.06%
1767,SENDAS DISTRIBUIDORA SA,62 ,0.00%,0.10%
1768,WENDEL,62 ,0.00%,0.12%
1769,MARICO LTD,62 ,0.00%,0.06%
1770,SANY HEAVY INDUSTRY CO LTD A,62 ,0.00%,0.03%
1771,GAIL INDIA LTD,62 ,0.00%,0.06%
1772,JIANGSU HENGLI HYDRAULIC C A,62 ,0.00%,0.04%
1773,4IMPRINT GROUP PLC,62 ,0.00%,0.34%
1774,ASPEN PHARMACARE HOLDINGS LT,62 ,0.00%,0.14%
1775,WEBSTER FINANCIAL CORP,61 ,0.00%,0.06%
1776,PACWEST BANCORP,61 ,0.00%,0.18%
1777,COLUMBIA BANKING SYSTEM INC,61 ,0.00%,0.20%
1778,WANT WANT CHINA HOLDINGS LTD,61 ,0.00%,0.06%
1779,KINGSOFT CORP LTD,61 ,0.00%,0.11%
1780,ACWA POWER CO,61 ,0.00%,0.02%
1781,COMPAL ELECTRONICS,61 ,0.00%,0.14%
1782,PI INDUSTRIES LTD,60 ,0.00%,0.08%
1783,LAND + HOUSES PUB   NVDR,60 ,0.00%,0.14%
1784,HONG LEONG BANK BERHAD,60 ,0.00%,0.05%
1785,NOVA LTD,60 ,0.00%,0.20%
1786,NEWELL BRANDS INC,60 ,0.00%,0.09%
1787,ACCOR SA,60 ,0.00%,0.07%
1788,INSPIRE MEDICAL SYSTEMS INC,60 ,0.00%,0.06%
1789,TRENT LTD FOREIGN,59 ,0.00%,0.08%
1790,COSCO SHIPPING PORTS LTD,59 ,0.00%,0.17%
1791,A2A SPA,59 ,0.00%,0.11%
1792,RICHTER GEDEON NYRT,59 ,0.00%,0.11%
1793,AIB GROUP PLC,59 ,0.00%,0.05%
1794,ARCBEST CORP,59 ,0.00%,0.27%
1795,FENG TAY ENTERPRISE CO LTD,59 ,0.00%,0.08%
1796,INVESCO LTD,59 ,0.00%,0.06%
1797,HONG KONG + CHINA GAS,59 ,0.00%,0.03%
1798,EREGLI DEMIR VE CELIK FABRIK,59 ,0.00%,0.06%
1799,SHREE CEMENT LTD,59 ,0.00%,0.05%
1800,GUANGDONG INVESTMENT LTD,58 ,0.00%,0.07%
1801,SHENZHEN INOVANCE TECHNOLO A,58 ,0.00%,0.02%
1802,GLOBE LIFE INC,58 ,0.00%,0.04%
1803,JGC HOLDINGS CORP,58 ,0.00%,0.14%
1804,CENCOSUD SA,58 ,0.00%,0.10%
1805,VARUN BEVERAGES LTD,58 ,0.00%,0.04%
1806,SHANXI XINGHUACUN FEN WINE A,58 ,0.00%,0.01%
1807,FUYAO GLASS INDUSTRY GROUP A,58 ,0.00%,0.05%
1808,TURK SISE VE CAM FABRIKALARI,58 ,0.00%,0.07%
1809,POWERCHIP SEMICONDUCTOR MANU,58 ,0.00%,0.11%
1810,CHINA FEIHE LTD,58 ,0.00%,0.06%
1811,FORMOSA PETROCHEMICAL CORP,58 ,0.00%,0.02%
1812,TAL EDUCATION GROUP  ADR,58 ,0.00%,0.13%
1813,JL MAG RARE EARTH CO LTD A,58 ,0.00%,0.15%
1814,CHORD ENERGY CORP,58 ,0.00%,0.08%
1815,ADANI POWER LTD,58 ,0.00%,0.03%
1816,GUOCO GROUP LTD,58 ,0.00%,0.16%
1817,DARLING INGREDIENTS INC,58 ,0.00%,0.05%
1818,WEIHAI GUANGWEI COMPOSITES A,58 ,0.00%,0.08%
1819,UNITED AIRLINES HOLDINGS INC,58 ,0.00%,0.04%
1820,ASIA CEMENT CORP,57 ,0.00%,0.10%
1821,ENEL AMERICAS SA,57 ,0.00%,0.03%
1822,HELLENIC TELECOMMUN ORGANIZA,57 ,0.00%,0.06%
1823,EMPRESAS COPEC SA,57 ,0.00%,0.05%
1824,DYNATRACE INC,57 ,0.00%,0.04%
1825,SUMITOMO ELECTRIC INDUSTRIES,57 ,0.00%,0.05%
1826,GROWTHPOINT PROPERTIES LTD,57 ,0.00%,0.15%
1827,SCB X PCL NVDR,57 ,0.00%,0.04%
1828,ARES MANAGEMENT CORP   A,57 ,0.00%,0.04%
1829,RINGKJOEBING LANDBOBANK A/S,57 ,0.00%,0.12%
1830,VALMET OYJ,57 ,0.00%,0.09%
1831,LUZHOU LAOJIAO CO LTD A,57 ,0.00%,0.01%
1832,MONEYSUPERMARKET.COM,56 ,0.00%,0.36%
1833,PING AN BANK CO LTD A,56 ,0.00%,0.01%
1834,TALANX AG,56 ,0.00%,0.04%
1835,NEW HOPE CORP LTD,56 ,0.00%,0.12%
1836,POLY DEVELOPMENTS AND HOLD A,56 ,0.00%,0.02%
1837,TONGCHENG TRAVEL HOLDINGS LT,56 ,0.00%,0.08%
1838,GOODYEAR TIRE + RUBBER CO,56 ,0.00%,0.15%
1839,RED ELECTRICA CORPORACION SA,56 ,0.00%,0.05%
1840,BUPA ARABIA FOR COOPERATIVE,56 ,0.00%,0.08%
1841,LIFE HEALTHCARE GROUP HOLDIN,56 ,0.00%,0.30%
1842,QATAR FUEL QSC,56 ,0.00%,0.09%
1843,MEDICAL PROPERTIES TRUST INC,56 ,0.00%,0.07%
1844,PENTAIR PLC,56 ,0.00%,0.06%
1845,ROYAL UNIBREW,56 ,0.00%,0.12%
1846,BEIJING ORIENTAL YUHONG A,55 ,0.00%,0.04%
1847,APPLIED INDUSTRIAL TECH INC,55 ,0.00%,0.09%
1848,NOMAD FOODS LTD,55 ,0.00%,0.15%
1849,EAST WEST BANCORP INC,55 ,0.00%,0.05%
1850,LINCOLN ELECTRIC HOLDINGS,55 ,0.00%,0.05%
1851,HIKMA PHARMACEUTICALS PLC,55 ,0.00%,0.11%
1852,SIME DARBY BERHAD,55 ,0.00%,0.12%
1853,PEOPLE S INSURANCE CO GROU H,55 ,0.00%,0.15%
1854,DLF LTD,55 ,0.00%,0.04%
1855,SSAB AB   B SHARES,55 ,0.00%,0.11%
1856,UBE CORP,55 ,0.00%,0.28%
1857,SUMBER ALFARIA TRIJAYA TBK P,55 ,0.00%,0.06%
1858,BUMRUNGRAD HOSPITAL PCL NVDR,55 ,0.00%,0.09%
1859,SYDBANK A/S,55 ,0.00%,0.18%
1860,INDIAN OIL CORP LTD,54 ,0.00%,0.03%
1861,CHINA INTERNATIONAL CAPITA H,54 ,0.00%,0.12%
1862,ROLLINS INC,54 ,0.00%,0.02%
1863,SALLY BEAUTY HOLDINGS INC,54 ,0.00%,0.32%
1864,LPP SA,54 ,0.00%,0.12%
1865,MULTICHOICE GROUP LTD,54 ,0.00%,0.14%
1866,CHINA COAL ENERGY CO H,54 ,0.00%,0.13%
1867,INDIVIOR PLC,54 ,0.00%,0.14%
1868,CELCOMDIGI BHD,54 ,0.00%,0.04%
1869,MACY S INC,54 ,0.00%,0.08%
1870,ZTE CORP H,54 ,0.00%,0.26%
1871,YANBU NATIONAL PETROCHEMICAL,54 ,0.00%,0.07%
1872,SMOORE INTERNATIONAL HOLDING,54 ,0.00%,0.04%
1873,TUBE INVESTMENTS OF INDIA LT,54 ,0.00%,0.07%
1874,JOLLIBEE FOODS CORP,54 ,0.00%,0.09%
1875,NEUROCRINE BIOSCIENCES INC,54 ,0.00%,0.04%
1876,SPS COMMERCE INC,53 ,0.00%,0.09%
1877,TATA ELXSI LTD,53 ,0.00%,0.09%
1878,SAUDI KAYAN PETROCHEMICAL CO,53 ,0.00%,0.08%
1879,JIANGXI COPPER CO LTD H,53 ,0.00%,0.20%
1880,KBR INC,53 ,0.00%,0.06%
1881,WESCO INTERNATIONAL INC,53 ,0.00%,0.07%
1882,CHINASOFT INTERNATIONAL LTD,53 ,0.00%,0.16%
1883,CHINA PACIFIC INSURANCE GR A,53 ,0.00%,0.04%
1884,POU CHEN,53 ,0.00%,0.13%
1885,MOUWASAT MEDICAL SERVICES CO,53 ,0.00%,0.07%
1886,IQIYI INC ADR,53 ,0.00%,0.18%
1887,CAESARS ENTERTAINMENT INC,52 ,0.00%,0.05%
1888,KUMBA IRON ORE LTD,52 ,0.00%,0.04%
1889,CHAROEN POKPHAND INDONESI PT,52 ,0.00%,0.07%
1890,HUNTSMAN CORP,52 ,0.00%,0.08%
1891,STEVEN MADDEN LTD,52 ,0.00%,0.17%
1892,JG SUMMIT HOLDINGS INC,52 ,0.00%,0.06%
1893,MISC BHD,52 ,0.00%,0.05%
1894,TOTVS SA,52 ,0.00%,0.13%
1895,RIO TINTO PLC SPON ADR,52 ,0.00%,0.00%
1896,BEIJING BEI MO GAO KE FRIC A,52 ,0.00%,0.19%
1897,ZHUZHOU CRRC TIMES ELECTRIC,52 ,0.00%,0.15%
1898,ALFA LAVAL AB,52 ,0.00%,0.03%
1899,ZIFF DAVIS INC,52 ,0.00%,0.11%
1900,EAST BUY HOLDING LTD,52 ,0.00%,0.06%
1901,BALOISE HOLDING AG   REG,52 ,0.00%,0.06%
1902,IPSOS,52 ,0.00%,0.15%
1903,PGE SA,51 ,0.00%,0.12%
1904,KASIKORNBANK PCL NVDR,51 ,0.00%,0.04%
1905,JAPAN POST INSURANCE CO LTD,51 ,0.00%,0.06%
1906,NEPI ROCKCASTLE N.V.,51 ,0.00%,0.11%
1907,BANK HAPOALIM BM,51 ,0.00%,0.03%
1908,VAIL RESORTS INC,51 ,0.00%,0.04%
1909,CHANG HWA COMMERCIAL BANK,51 ,0.00%,0.07%
1910,MICRO STAR INTERNATIONAL CO,51 ,0.00%,0.12%
1911,SHANGHAI UNITED IMAGING HE A,51 ,0.00%,0.00%
1912,REDE D OR SAO LUIZ SA,51 ,0.00%,0.03%
1913,NAN YA PRINTED CIRCUIT BOARD,51 ,0.00%,0.08%
1914,ITV PLC,51 ,0.00%,0.11%
1915,IHH HEALTHCARE BHD,51 ,0.00%,0.03%
1916,QATAR INTERNATIONAL ISLAMIC,51 ,0.00%,0.09%
1917,REINET INVESTMENTS SCA,51 ,0.00%,0.11%
1918,H I S CO LTD,51 ,0.00%,0.32%
1919,NOVOLIPETSK STEEL PJSC,50 ,0.00%,0.04%
1920,ALLETE INC,50 ,0.00%,0.11%
1921,QANTAS AIRWAYS LTD,50 ,0.00%,0.05%
1922,MESAIEED PETROCHEMICAL HOLDI,50 ,0.00%,0.05%
1923,QATAR ELECTRICITY + WATER CO,50 ,0.00%,0.07%
1924,BANCO SANTANDER CHILE,50 ,0.00%,0.05%
1925,TVS MOTOR CO LTD,50 ,0.00%,0.06%
1926,UFP INDUSTRIES INC,50 ,0.00%,0.08%
1927,CENTRAL PATTANA PCL NVDR,50 ,0.00%,0.04%
1928,CHARLES RIVER LABORATORIES,50 ,0.00%,0.04%
1929,QATAR GAS TRANSPORT(NAKILAT),50 ,0.00%,0.07%
1930,TRELLEBORG AB B SHS,50 ,0.00%,0.07%
1931,COMMERCIAL INTL BANK GDR REG,50 ,0.00%,0.11%
1932,TELSTRA GROUP LTD,50 ,0.00%,0.01%
1933,JARIR MARKETING CO,49 ,0.00%,0.08%
1934,EMCOR GROUP INC,49 ,0.00%,0.06%
1935,GAONA AERO MATERIAL CO LTD A,49 ,0.00%,0.12%
1936,PILBARA MINERALS LTD,49 ,0.00%,0.05%
1937,ALLEGRO MICROSYSTEMS INC,49 ,0.00%,0.07%
1938,BHARAT FORGE LTD,49 ,0.00%,0.08%
1939,WEST FRASER TIMBER CO LTD,49 ,0.00%,0.07%
1940,WPG HOLDINGS LTD,49 ,0.00%,0.15%
1941,SYNNEX TECHNOLOGY INTL CORP,49 ,0.00%,0.12%
1942,MEDPACE HOLDINGS INC,49 ,0.00%,0.06%
1943,PHARMAESSENTIA CORP,49 ,0.00%,0.09%
1944,PPB GROUP BERHAD,49 ,0.00%,0.07%
1945,XPENG INC   CLASS A SHARES,49 ,0.00%,0.06%
1946,LOUISIANA PACIFIC CORP,49 ,0.00%,0.09%
